FileId,Week,Date,Page,Talk
1,0,3/18/01,0,0
1,1,3/25/01,0,0
1,2,4/1/01,0,0
1,3,4/8/01,0,0
1,4,4/15/01,0,0
1,5,4/22/01,0,0
1,6,4/29/01,0,0
1,7,5/6/01,0,0
1,8,5/13/01,0,0
1,9,5/20/01,0,0
1,10,5/27/01,0,0
1,11,6/3/01,0,0
1,12,6/10/01,0,0
1,13,6/17/01,0,0
1,14,6/24/01,0,0
1,15,7/1/01,0,0
1,16,7/8/01,0,0
1,17,7/15/01,0,0
1,18,7/22/01,0,0
1,19,7/29/01,0,0
1,20,8/5/01,0,0
1,21,8/12/01,0,0
1,22,8/19/01,0,0
1,23,8/26/01,0,0
1,24,9/2/01,0,0
1,25,9/9/01,0,0
1,26,9/16/01,0,0
1,27,9/23/01,0,0
1,28,9/30/01,0,0
1,29,10/7/01,0,0
1,30,10/14/01,0,0
1,31,10/21/01,0,0
1,32,10/28/01,0,0
1,33,11/4/01,0,0
1,34,11/11/01,0,0
1,35,11/18/01,0,0
1,36,11/25/01,0,0
1,37,12/2/01,0,0
1,38,12/9/01,0,0
1,39,12/16/01,0,0
1,40,12/23/01,0,0
1,41,12/30/01,0,0
1,42,1/6/02,0,0
1,43,1/13/02,0,0
1,44,1/20/02,0,0
1,45,1/27/02,0,0
1,46,2/3/02,0,0
1,47,2/10/02,0,0
1,48,2/17/02,0,0
1,49,2/24/02,0,0
1,50,3/3/02,0,0
1,51,3/10/02,0,0
1,52,3/17/02,0,0
1,53,3/24/02,0,0
1,54,3/31/02,0,0
1,55,4/7/02,0,0
1,56,4/14/02,0,0
1,57,4/21/02,0,0
1,58,4/28/02,0,0
1,59,5/5/02,0,0
1,60,5/12/02,0,0
1,61,5/19/02,0,0
1,62,5/26/02,0,0
1,63,6/2/02,0,0
1,64,6/9/02,0,0
1,65,6/16/02,0,0
1,66,6/23/02,0,0
1,67,6/30/02,0,0
1,68,7/7/02,0,0
1,69,7/14/02,0,0
1,70,7/21/02,0,0
1,71,7/28/02,0,0
1,72,8/4/02,0,0
1,73,8/11/02,0,0
1,74,8/18/02,0,0
1,75,8/25/02,0,0
1,76,9/1/02,0,0
1,77,9/8/02,0,0
1,78,9/15/02,0,0
1,79,9/22/02,0,0
1,80,9/29/02,0,0
1,81,10/6/02,0,0
1,82,10/13/02,0,0
1,83,10/20/02,0,0
1,84,10/27/02,0,0
1,85,11/3/02,0,0
1,86,11/10/02,0,0
1,87,11/17/02,0,0
1,88,11/24/02,0,0
1,89,12/1/02,0,0
1,90,12/8/02,0,0
1,91,12/15/02,0,0
1,92,12/22/02,0,0
1,93,12/29/02,0,0
1,94,1/5/03,0,0
1,95,1/12/03,0,0
1,96,1/19/03,0,0
1,97,1/26/03,0,0
1,98,2/2/03,0,0
1,99,2/9/03,0,0
1,100,2/16/03,0,0
1,101,2/23/03,0,0
1,102,3/2/03,0,0
1,103,3/9/03,0,0
1,104,3/16/03,0,0
1,105,3/23/03,0,0
1,106,3/30/03,0,0
1,107,4/6/03,0,0
1,108,4/13/03,0,0
1,109,4/20/03,0,0
1,110,4/27/03,0,0
1,111,5/4/03,0,0
1,112,5/11/03,0,0
1,113,5/18/03,0,0
1,114,5/25/03,0,0
1,115,6/1/03,0,0
1,116,6/8/03,0,0
1,117,6/15/03,0,0
1,118,6/22/03,0,0
1,119,6/29/03,0,0
1,120,7/6/03,0,0
1,121,7/13/03,0,0
1,122,7/20/03,0,0
1,123,7/27/03,0,0
1,124,8/3/03,0,0
1,125,8/10/03,0,0
1,126,8/17/03,0,0
1,127,8/24/03,0,0
1,128,8/31/03,0,0
1,129,9/7/03,0,0
1,130,9/14/03,0,0
1,131,9/21/03,0,0
1,132,9/28/03,0,0
1,133,10/5/03,0,0
1,134,10/12/03,0,0
1,135,10/19/03,0,0
1,136,10/26/03,0,0
1,137,11/2/03,0,0
1,138,11/9/03,0,0
1,139,11/16/03,0,0
1,140,11/23/03,0,0
1,141,11/30/03,0,0
1,142,12/7/03,0,0
1,143,12/14/03,0,0
1,144,12/21/03,0,0
1,145,12/28/03,0,0
1,146,1/4/04,0,0
1,147,1/11/04,0,0
1,148,1/18/04,0,0
1,149,1/25/04,0,0
1,150,2/1/04,0,0
1,151,2/8/04,0,0
1,152,2/15/04,0,0
1,153,2/22/04,0,0
1,154,2/29/04,0,0
1,155,3/7/04,0,0
1,156,3/14/04,0,0
